Restaurant,Food Item,Serving Size,Calories,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Proteins,Vitamin A,Vitamin C,Calcium,Iron
"""Sweetgreen""","""Avocado""","""1 serving ( 87 g )""",160,135,15,3,0,0,0,9,9,0,3,,,,
"""Sweetgreen""","""Balsamic Vinaigrette""","""1 serving ( 30 g )""",150,144,16,1,0,0,230,3,0,3,0,,,,
"""Sweetgreen""","""Balsamic Vinegar""","""1 serving ( 15 g )""",15,0,0,0,0,0,0,2,0,2,0,,,,
"""Sweetgreen""","""Buckwheat Bread (DMV, PHL)""","""1 serving ( 47 g )""",80,0,0,0,0,0,230,20,2,0,3,,,,
"""Sweetgreen""","""Caesar Dressing""","""1 serving ( 30 g )""",100,90,10,2,0,5,220,1,0,0,1,,,,
"""Sweetgreen""","""Chamomile Mint Iced Tea""","""1 serving ( 475 g )""",0,0,0,0,0,0,20,0,0,0,0,,,,
"""Sweetgreen""","""Chicken and Brussels Salad""","""1 serving ( 351 g )""",420,243,27,1.5,0,70,790,21,5,9,25,,,,
"""Sweetgreen""","""Chicken Pesto Parm Bowl""","""1 serving ( 395 g )""",530,279,31,4,0,70,1220,46,6,2,37,,,,
"""Sweetgreen""","""Chopped Romaine, Full Portion""","""1 serving ( 150 g )""",25,0,0,0,0,0,10,5,3,2,2,,,,
"""Sweetgreen""","""Chopped Romaine, Half Portion""","""1 serving ( 75 g )""",15,0,0,0,0,0,5,2,2,1,1,,,,
"""Sweetgreen""","""Cranberry Maple Vinaigrette""","""1 serving ( 30 g )""",120,108,12,1,0,0,220,3,0,2,0,,,,
"""Sweetgreen""","""Cucumber Ginger Lime Fresca""","""1 serving ( 475 g )""",60,0,0,0,0,0,5,17,0,12,0,,,,
"""Sweetgreen""","""Cucumber Tahini Yogurt Dressing""","""1 serving ( 30 g )""",110,99,11,1,0,0,140,2,0,0,1,,,,
"""Sweetgreen""","""Cucumbers""","""1 serving ( 40 g )""",5,0,0,0,0,0,0,1,0,1,0,,,,
"""Sweetgreen""","""Curry Cauliflower Bowl""","""1 serving ( 388 g )""",450,198,22,2,0,70,820,51,8,12,32,,,,
"""Sweetgreen""","""Curry Chickpea Bowl""","""1 serving ( 422 g )""",650,216,24,1,0,75,2060,72,14,14,40,,,,
"""Sweetgreen""","""Curry Roasted Cauliflower""","""1 serving ( 30 g )""",20,9,1,0,0,0,50,2,1,1,1,,,,
"""Sweetgreen""","""Curry Yogurt Dressing""","""1 serving ( 30 g )""",110,36,4,0,0,5,150,2,0,1,1,,,,
"""Sweetgreen""","""Extra Virgin Olive Oil""","""1 serving ( 15 g )""",130,135,15,2,0,0,0,0,0,0,0,,,,
"""Sweetgreen""","""Fish Taco Bowl""","""1 serving ( 338 g )""",520,252,28,6,0,20,780,46,6,3,24,,,,
"""Sweetgreen""","""Grapes""","""1 serving ( 45 g )""",30,0,0,0,0,0,0,8,0,7,0,,,,
"""Sweetgreen""","""Guacamole Greens Salad""","""1 serving ( 374 g )""",530,351,39,5,0,70,540,24,9,1,26,,,,
"""Sweetgreen""","""Hard Boiled Egg""","""1 serving ( 50 g )""",70,45,5,2,0,190,70,1,0,1,7,,,,
"""Sweetgreen""","""Harvest Bowl""","""1 serving ( 362 g )""",700,342,38,7,0,85,960,47,7,10,39,,,,
"""Sweetgreen""","""Herb Falafel""","""1 serving ( 60 g )""",190,63,7,1,0,0,360,11,3,2,3,,,,
"""Sweetgreen""","""Hollywood Bowl""","""1 serving ( 388 g )""",730,333,37,7,0,85,810,57,9,20,38,,,,
"""Sweetgreen""","""Hot Chickpeas""","""1 serving ( 80 g )""",160,45,5,0,0,0,1450,21,6,3,7,,,,
"""Sweetgreen""","""Housemade Hummus""","""1 serving ( 50 g )""",80,54,6,0,0,0,230,8,2,0,3,,,,
"""Sweetgreen""","""Hummus Tahina Salad""","""1 serving ( 397 g )""",560,306,34,7,0,30,1190,40,9,7,16,,,,
"""Sweetgreen""","""Iced Chai""","""1 serving ( 475 g )""",0,0,0,0,0,0,20,0,0,0,0,,,,
